# Gene Family	A_Abundance-RPKs
UniRef90_R9HNY3|g__Bacteroides.s__Bacteroides_dorei	6.2111801242
UniRef90_K1FAD2	6.1855670103
UniRef90_K1FAD2|g__Bacteroides.s__Bacteroides_dorei	6.1855670103
UniRef90_A0A0P0M363	6.0790273556
UniRef90_A0A0P0M363|g__Bacteroides.s__Bacteroides_vulgatus	6.0790273556
UniRef90_A0A078PSF7	6.0422960725
UniRef90_A0A078PSF7|g__Bacteroides.s__Bacteroides_dorei	3.0211480363
UniRef90_A0A078PSF7|g__Bacteroides.s__Bacteroides_vulgatus	3.0211480363
UniRef90_C6IUL3	5.7603686636
UniRef90_C6IUL3|g__Bacteroides.s__Bacteroides_vulgatus	3.4562211982
UniRef90_C6IUL3|g__Bacteroides.s__Bacteroides_dorei	2.3041474654
UniRef90_A0A078RDG6	5.7306590258
UniRef90_A0A078RDG6|g__Bacteroides.s__Bacteroides_dorei	5.7306590258
UniRef90_C6IUF2	5.7034220532
UniRef90_C6IUF2|g__Bacteroides.s__Bacteroides_dorei	3.8022813688
UniRef90_C6IUF2|g__Bacteroides.s__Bacteroides_vulgatus	1.9011406844
UniRef90_R9H4N4	5.6338028169
UniRef90_R9H4N4|g__Bacteroides.s__Bacteroides_vulgatus	5.6338028169
UniRef90_A0A3E5H1Z2	5.5865921788
UniRef90_A0A3E5H1Z2|g__Bacteroides.s__Bacteroides_vulgatus	5.5865921788
UniRef90_A0A174UG67	5.5286832475
UniRef90_A0A174UG67|g__Bacteroides.s__Bacteroides_dorei	4.1461947682
UniRef90_A0A174UG67|g__Bacteroides.s__Bacteroides_vulgatus	1.3824884793
UniRef90_E5UVP4	5.4495912807
UniRef90_E5UVP4|g__Bacteroides.s__Bacteroides_vulgatus	5.4495912807
UniRef90_A0A0P0M5J8	5.3908355795
UniRef90_A0A0P0M5J8|g__Bacteroides.s__Bacteroides_vulgatus	5.3908355795
UniRef90_A0A076IWR4	5.0000000000
UniRef90_A0A076IWR4|g__Bacteroides.s__Bacteroides_vulgatus	5.0000000000
UniRef90_A0A076IT49	4.9850448654
UniRef90_A0A076IT49|g__Bacteroides.s__Bacteroides_vulgatus	4.9850448654
UniRef90_P10738	4.8939641109
UniRef90_P10738|g__Bacteroides.s__Bacteroides_dorei	4.8939641109
UniRef90_A0A076ISP7	4.7505938242
UniRef90_A0A076ISP7|g__Bacteroides.s__Bacteroides_vulgatus	4.7505938242
UniRef90_A0A0P0L614	4.5811518325
UniRef90_A0A0P0L614|g__Bacteroides.s__Bacteroides_vulgatus	4.5811518325
UniRef90_B6W2G6	4.3243243243
UniRef90_B6W2G6|g__Bacteroides.s__Bacteroides_dorei	4.3243243243
